Date,Time,Activity,Title,Details,text
2025-11-06,11:10 - 11:55,Workshop B8,What could climate change mean for the future of longevity? ,"
The human impact of climate change is highly visible. Catastrophic fires, floods, and other weather events regularly hit the news. But the impact of climate change on our lives is much broader than the weather. 
This session will consider the potential impact of climate change on longevity through the lens of several scenarios developed by Club Vita. These scenarios take a holistic approach to the impact of climate change on longevity, including consideration of infectious/parasitic diseases, health system impacts, lifestyle impacts and direct climate impacts. 
This session will introduce scenario modelling, then examine three potential climate change scenarios in more detail – including how impacts vary for different socioeconomic groups. 
The scenarios will help to bring the longevity impact of climate change to life, and detailed technical longevity knowledge will not be needed to appreciate the content. This session should be of interest to a broad group. That includes those working directly with longevity projections and anyone with a general interest in longevity or climate change. We hope the topic will generate some lively discussion. 
Speakers: Daniel Poole and Jill Jamieson, Club Vita","Date and Time: 2025-11-06; 11:10 - 11:55
Session: Workshop B8: What could climate change mean for the future of longevity? 
Details: 
The human impact of climate change is highly visible. Catastrophic fires, floods, and other weather events regularly hit the news. But the impact of climate change on our lives is much broader than the weather. 
This session will consider the potential impact of climate change on longevity through the lens of several scenarios developed by Club Vita. These scenarios take a holistic approach to the impact of climate change on longevity, including consideration of infectious/parasitic diseases, health system impacts, lifestyle impacts and direct climate impacts. 
This session will introduce scenario modelling, then examine three potential climate change scenarios in more detail – including how impacts vary for different socioeconomic groups. 
The scenarios will help to bring the longevity impact of climate change to life, and detailed technical longevity knowledge will not be needed to appreciate the content. This session should be of interest to a broad group. That includes those working directly with longevity projections and anyone with a general interest in longevity or climate change. We hope the topic will generate some lively discussion. 
Speakers: Daniel Poole and Jill Jamieson, Club Vita"
2025-11-06,12:05 - 12:50,Workshop C1,Overview of climate change disclosures ,"
Climate change disclosures, as well as broader environmental, social and governance (ESG) disclosures, are important tools. They help stakeholders understand the risks and opportunities faced by companies and the impact companies have on the environment and beyond. 
They are tools to help us understand where companies are on their journey to net zero. They act as potential signposts to remind companies about the commitments they’ve made. 
Over recent months, the ever-changing landscape for climate disclosure is continuing to evolve at a rapid pace.  
I have published several blogs, newsletters and a research paper on global climate change disclosure requirements via the IFoA blog site https://blog.actuaries.org.uk/topics/climate-change-disclosure/ - previously as co-chair of a working party. 
The paper gives a general background to disclosure requirements, discusses greenwashing, and details disclosure organisations including TCFD and the ISSB. It also provides details on a country level, for example the UK, the EU and the US, including green taxonomies.   The aim of the talk is to:  
Give an overview of current prominent climate disclosure requirement practices around the world 
Help understand challenges faced by companies and individuals in implementing climate change disclosures 
Look at potential solutions for example to internal governance or IT via Microsoft 
Speaker: Debashish Dey, Aviva","Date and Time: 2025-11-06; 12:05 - 12:50
Session: Workshop C1: Overview of climate change disclosures 
Details: 
Climate change disclosures, as well as broader environmental, social and governance (ESG) disclosures, are important tools. They help stakeholders understand the risks and opportunities faced by companies and the impact companies have on the environment and beyond. 
They are tools to help us understand where companies are on their journey to net zero. They act as potential signposts to remind companies about the commitments they’ve made. 
Over recent months, the ever-changing landscape for climate disclosure is continuing to evolve at a rapid pace.  
I have published several blogs, newsletters and a research paper on global climate change disclosure requirements via the IFoA blog site https://blog.actuaries.org.uk/topics/climate-change-disclosure/ - previously as co-chair of a working party. 
The paper gives a general background to disclosure requirements, discusses greenwashing, and details disclosure organisations including TCFD and the ISSB. It also provides details on a country level, for example the UK, the EU and the US, including green taxonomies.   The aim of the talk is to:  
Give an overview of current prominent climate disclosure requirement practices around the world 
Help understand challenges faced by companies and individuals in implementing climate change disclosures 
Look at potential solutions for example to internal governance or IT via Microsoft 
Speaker: Debashish Dey, Aviva"
2025-11-06,12:05 - 12:50,Workshop C2,From bottlenecks to five minutes: how to secure management buy-in for your actuarial transformation ,"
Management does not automatically sign off on technology – they sign off on outcomes. This session will follow the story of how actuaries at one of Africa’s largest insurers secured executive backing for a major operational overhaul. They proposed and achieved measurable, repeatable savings of hundreds of person-hours per quarter while slashing key model runtimes from hours to seconds. 
Speakers, including the CFO of BIHL and the Executive Head - Actuary of BLIL, will share how the actuarial team moved from a vision to management-approved execution. They will explore how they implemented the transformation strategy in a way that reduced audit continuity noise and avoided full system upheaval while addressing management risk-aversion. 
Speakers will share how the actuarial team moved from a vision to board-approved execution by: 
Mapping and quantifying critical reporting processes (cost, time, effort, duplication, bottlenecks) 
Translating the transformation into board-ready metrics on benefits 
Addressing risk aversion with a low-disruption, staggered rollout strategy 
And how they executed the strategy by: 
Rapidly refactoring key models and processes for automation 
Leveraging low-code high-performance compute to accelerate delivery and turnaround times 
Minimising disruption, increasing audit readiness, and improving team capacity 
Speakers: Frank Dalo and Lebeilwe Semandi, BIHL and Chris Martis, Green 13 Solutions","Date and Time: 2025-11-06; 12:05 - 12:50
Session: Workshop C2: From bottlenecks to five minutes: how to secure management buy-in for your actuarial transformation 
Details: 
Management does not automatically sign off on technology – they sign off on outcomes. This session will follow the story of how actuaries at one of Africa’s largest insurers secured executive backing for a major operational overhaul. They proposed and achieved measurable, repeatable savings of hundreds of person-hours per quarter while slashing key model runtimes from hours to seconds. 
Speakers, including the CFO of BIHL and the Executive Head - Actuary of BLIL, will share how the actuarial team moved from a vision to management-approved execution. They will explore how they implemented the transformation strategy in a way that reduced audit continuity noise and avoided full system upheaval while addressing management risk-aversion. 
Speakers will share how the actuarial team moved from a vision to board-approved execution by: 
Mapping and quantifying critical reporting processes (cost, time, effort, duplication, bottlenecks) 
Translating the transformation into board-ready metrics on benefits 
Addressing risk aversion with a low-disruption, staggered rollout strategy 
And how they executed the strategy by: 
Rapidly refactoring key models and processes for automation 
Leveraging low-code high-performance compute to accelerate delivery and turnaround times 
Minimising disruption, increasing audit readiness, and improving team capacity 
Speakers: Frank Dalo and Lebeilwe Semandi, BIHL and Chris Martis, Green 13 Solutions"
2025-11-06,12:05 - 12:50,Workshop C3,The unified theory of model risk management: industry perspective ,"
Model risk management (MRM) is a well-established practice, with actuaries deeply familiar with the fundamental concepts. Traditionally, the focus of MRM in insurers has been on financial reporting and capital models, especially for internal model firms. 
But the use of models extends far beyond financial reporting. Models support a wide range of critical decisions across the organisation and errors can have a disproportionate impact on customers. Yet the approach for managing model risks in areas outside financial reporting varies significantly and they are often only scrutinised after costly errors have surfaced.  
In recent years, we have observed meaningful expansion in MRM practices beyond financial reporting models in many firms. Join us for an insightful presentation as we explore the evolving landscape of MRM covering:  
Model risk myopia: uncover the unseen risks from models not typically in focus and understand their potential impacts 
The journey: gain insights into what this journey involves, including good practices for broadening your model risk management framework 
Challenges and pitfalls: learn from real world examples about the challenge and pitfalls encountered along the way  
Lessons from banking: gain valuable insights from the banking sector, which is currently navigating similar challenges due to SS1/23   
Speakers: Harvard Lee and Keith Hsuan, KPMG, Andrew Dobinson, Lloyds Banking Group and Dominic Wollam, M&G","Date and Time: 2025-11-06; 12:05 - 12:50
Session: Workshop C3: The unified theory of model risk management: industry perspective 
Details: 
Model risk management (MRM) is a well-established practice, with actuaries deeply familiar with the fundamental concepts. Traditionally, the focus of MRM in insurers has been on financial reporting and capital models, especially for internal model firms. 
But the use of models extends far beyond financial reporting. Models support a wide range of critical decisions across the organisation and errors can have a disproportionate impact on customers. Yet the approach for managing model risks in areas outside financial reporting varies significantly and they are often only scrutinised after costly errors have surfaced.  
In recent years, we have observed meaningful expansion in MRM practices beyond financial reporting models in many firms. Join us for an insightful presentation as we explore the evolving landscape of MRM covering:  
Model risk myopia: uncover the unseen risks from models not typically in focus and understand their potential impacts 
The journey: gain insights into what this journey involves, including good practices for broadening your model risk management framework 
Challenges and pitfalls: learn from real world examples about the challenge and pitfalls encountered along the way  
Lessons from banking: gain valuable insights from the banking sector, which is currently navigating similar challenges due to SS1/23   
Speakers: Harvard Lee and Keith Hsuan, KPMG, Andrew Dobinson, Lloyds Banking Group and Dominic Wollam, M&G"
2025-11-06,12:05 - 12:50,Workshop C4,Protecting the balance sheet: reinsurance strategies for mortality and mass lapse shocks from international perspective ,"
In an increasingly complex risk environment, insurers face significant exposure to tail events such as mass policyholder lapses and extreme mortality shocks. These low-frequency but high-severity risks can severely impact solvency positions and capital requirements, particularly under stress testing and regulatory frameworks like Solvency II. 
This session will explore the role of reinsurance as a strategic risk management tool to mitigate the financial impact of these extreme events. We will examine the structures and features of mass lapse reinsurance and extreme mortality reinsurance, discuss their relevance in both life and saving portfolios, and consider practical implementation challenges.  
Drawing on case studies and market insights, the session will also highlight how these solutions can enhance capital efficiency, support strategic risk transfer, and build greater resilience into insurers’ balance sheets from international perspectives. 
Speakers: Wei Hou and Etienne Busson, Gallagher Re","Date and Time: 2025-11-06; 12:05 - 12:50
Session: Workshop C4: Protecting the balance sheet: reinsurance strategies for mortality and mass lapse shocks from international perspective 
Details: 
In an increasingly complex risk environment, insurers face significant exposure to tail events such as mass policyholder lapses and extreme mortality shocks. These low-frequency but high-severity risks can severely impact solvency positions and capital requirements, particularly under stress testing and regulatory frameworks like Solvency II. 
This session will explore the role of reinsurance as a strategic risk management tool to mitigate the financial impact of these extreme events. We will examine the structures and features of mass lapse reinsurance and extreme mortality reinsurance, discuss their relevance in both life and saving portfolios, and consider practical implementation challenges.  
Drawing on case studies and market insights, the session will also highlight how these solutions can enhance capital efficiency, support strategic risk transfer, and build greater resilience into insurers’ balance sheets from international perspectives. 
Speakers: Wei Hou and Etienne Busson, Gallagher Re"
2025-11-06,12:05 - 12:50,Workshop C5,Can we make conversational AI good enough to put in front of your customers? ,"
Most actuaries have probably already discovered that conversational AI systems such as ChatGPT are powerful tools that can help them get work done more efficiently.  These AI systems often get things wrong, but are nevertheless still valuable to an expert user when used as an assistant. 
In contrast, building conversational AI systems that you can use in customer-facing use cases is a more challenging task as the bar for accuracy and quality is much higher. 
This talk explores some of the techniques and lessons we have learnt as a startup over the last two and half years of building out conversational AI technology for customer-facing pensions use cases.  We will cover some of the dos and don’ts for ‘pinning down’ these flexible, probabilistic systems so that they get closer to meeting the quality and safety standards required for public release.  
We’ll look at some real-world cases – in customer-facing DC pensions support – and talk through some of the techniques for testing, evaluating and constraining AI behaviour.  
This is a very fast-moving space with new evaluation frameworks, models, tooling and techniques emerging every few weeks from the major AI labs and various startups. 
Speaker: Matt Gosden, Engage Smarter AI","Date and Time: 2025-11-06; 12:05 - 12:50
Session: Workshop C5: Can we make conversational AI good enough to put in front of your customers? 
Details: 
Most actuaries have probably already discovered that conversational AI systems such as ChatGPT are powerful tools that can help them get work done more efficiently.  These AI systems often get things wrong, but are nevertheless still valuable to an expert user when used as an assistant. 
In contrast, building conversational AI systems that you can use in customer-facing use cases is a more challenging task as the bar for accuracy and quality is much higher. 
This talk explores some of the techniques and lessons we have learnt as a startup over the last two and half years of building out conversational AI technology for customer-facing pensions use cases.  We will cover some of the dos and don’ts for ‘pinning down’ these flexible, probabilistic systems so that they get closer to meeting the quality and safety standards required for public release.  
We’ll look at some real-world cases – in customer-facing DC pensions support – and talk through some of the techniques for testing, evaluating and constraining AI behaviour.  
This is a very fast-moving space with new evaluation frameworks, models, tooling and techniques emerging every few weeks from the major AI labs and various startups. 
Speaker: Matt Gosden, Engage Smarter AI"
2025-11-06,12:05 - 12:50,Workshop C6 | Protection health and care,Reclassifying mortality risk: how wearable-driven mortality modelling reshapes risk stratification in life insurance underwriting ,"
Wearable fitness devices and smartphones are transforming life insurance underwriting by providing health and activity data. This session examines how AI-driven predictive models built on wearable data can dramatically improve mortality risk stratification compared to traditional methods based on static metrics.  
We will highlight insights from recent collaborations with Willis Towers Watson (WTW) and Munich Re Life. For example, daily step count has emerged as a more powerful predictor of mortality risk than many conventional factors (second only to age). A wearable-data-driven model outperformed one using traditional underwriting inputs in stratifying mortality risk. These findings reveal that active lifestyle indicators can trump classical risk factors – for example, smokers averaging 7,000+ steps per day exhibit lower mortality rates than sedentary non-smokers.  
Attendees will learn how incorporating wearable-derived measures (such as steps, heart rate, and sleep patterns) into underwriting can enhance accuracy, expand insurability, and encourage healthier customer behaviours. The presentation underscores a shift toward customer-centric, data-driven underwriting and the significant potential for innovative, more inclusive life insurance products on a global scale. 
Speaker: Will Cooper, Clarity Health","Date and Time: 2025-11-06; 12:05 - 12:50
Session: Workshop C6 | Protection health and care: Reclassifying mortality risk: how wearable-driven mortality modelling reshapes risk stratification in life insurance underwriting 
Details: 
Wearable fitness devices and smartphones are transforming life insurance underwriting by providing health and activity data. This session examines how AI-driven predictive models built on wearable data can dramatically improve mortality risk stratification compared to traditional methods based on static metrics.  
We will highlight insights from recent collaborations with Willis Towers Watson (WTW) and Munich Re Life. For example, daily step count has emerged as a more powerful predictor of mortality risk than many conventional factors (second only to age). A wearable-data-driven model outperformed one using traditional underwriting inputs in stratifying mortality risk. These findings reveal that active lifestyle indicators can trump classical risk factors – for example, smokers averaging 7,000+ steps per day exhibit lower mortality rates than sedentary non-smokers.  
Attendees will learn how incorporating wearable-derived measures (such as steps, heart rate, and sleep patterns) into underwriting can enhance accuracy, expand insurability, and encourage healthier customer behaviours. The presentation underscores a shift toward customer-centric, data-driven underwriting and the significant potential for innovative, more inclusive life insurance products on a global scale. 
Speaker: Will Cooper, Clarity Health"
2025-11-06,12:05 - 12:50,Workshop C7 | Protection health and care | Social Care Working Party,Social Care Working Party: modelling update ,"
Following a well-received session at last year’s IFoA Life Conference, the IFoA Social Care Working Party returns to share our significant progress and ongoing work in this vital and evolving policy area. Since our last presentation, we have submitted evidence to the House of Commons inquiry on The Cost of Inaction and continued developing our actuarial modelling framework to support long-term care policy and product design. 
This year, we will present our work on constructing a set of actuarial assumptions, incidence and transition rates, that reflect how individuals in their 50s and 60s may move between health states such as: healthy, receiving care at home, in residential care, or requiring nursing care. These assumptions will feed into a multi-state model designed to estimate the future cost of care across different settings. 
The model has multiple potential applications. It can support the development and pricing of pre-funded insurance products (for example policies that pay benefits when care needs arise), as well as enhance government planning and cost modelling for state-provided care. Crucially, it allows for assessment of the impact of preventative measures, enabling cost-benefit analysis of social care policy options. 
This session contributes meaningfully to the broader debate on social care reform. It provides an evidence-based, actuarial approach that is aligned with, and can inform, the recommendations of the Casey Commission on adult social care reform in England. Importantly, it ensures that actuaries are recognised as key contributors to this complex debate on one of society’s most pressing challenges. 
Speakers: Mohamed Elsheemy, NHS, Vincent Bodnar, Alvarez and Marsal and Tom Kenny, JUST Group","Date and Time: 2025-11-06; 12:05 - 12:50
Session: Workshop C7 | Protection health and care | Social Care Working Party: Social Care Working Party: modelling update 
Details: 
Following a well-received session at last year’s IFoA Life Conference, the IFoA Social Care Working Party returns to share our significant progress and ongoing work in this vital and evolving policy area. Since our last presentation, we have submitted evidence to the House of Commons inquiry on The Cost of Inaction and continued developing our actuarial modelling framework to support long-term care policy and product design. 
This year, we will present our work on constructing a set of actuarial assumptions, incidence and transition rates, that reflect how individuals in their 50s and 60s may move between health states such as: healthy, receiving care at home, in residential care, or requiring nursing care. These assumptions will feed into a multi-state model designed to estimate the future cost of care across different settings. 
The model has multiple potential applications. It can support the development and pricing of pre-funded insurance products (for example policies that pay benefits when care needs arise), as well as enhance government planning and cost modelling for state-provided care. Crucially, it allows for assessment of the impact of preventative measures, enabling cost-benefit analysis of social care policy options. 
This session contributes meaningfully to the broader debate on social care reform. It provides an evidence-based, actuarial approach that is aligned with, and can inform, the recommendations of the Casey Commission on adult social care reform in England. Importantly, it ensures that actuaries are recognised as key contributors to this complex debate on one of society’s most pressing challenges. 
Speakers: Mohamed Elsheemy, NHS, Vincent Bodnar, Alvarez and Marsal and Tom Kenny, JUST Group"
2025-11-06,12:05 - 12:50,Workshop C8,What next for regulatory reform? ,"
Recent years have brought an extensive and wide-ranging portfolio of regulatory reform, which have fundamentally impacted the business model of insurers.  This talk will reflect on the impacts of recent policy changes such as Solvency UK, matching adjustment, funded re, solvent exit, and liquidity reporting, and ask two questions: 
Have the changes prompted the intended changes? 
How can firms maximise benefit from the reforms? 
The talk will then turn to the forward-looking view and discuss what is next, including whether there is a role for sandboxes, the case for updating Standard Formula calibration and further changes to the reporting regime (SFCR). 
Finally, the speakers will provide some personal perspectives on how this is all aligned to government policy and the implications for the future of the sector.  This will be a joint presentation with KPMG and the ABI. 
Gain insight into how modernisation initiatives being used across the industry are reimagining processes, systems, and team structures – bridging gaps between actuarial and finance domains, improving efficiency, and unlocking more strategic value. Real-world examples will highlight both the opportunities and challenges that come with this transformation.  
This session is aimed at actuaries looking to understand their role in finance modernisation programs, and how to contribute meaningfully to building a future-fit finance function. 
Speakers: James Isden, KPMG, Robert Warren, ABI and Himesh Sheth, Aviva","Date and Time: 2025-11-06; 12:05 - 12:50
Session: Workshop C8: What next for regulatory reform? 
Details: 
Recent years have brought an extensive and wide-ranging portfolio of regulatory reform, which have fundamentally impacted the business model of insurers.  This talk will reflect on the impacts of recent policy changes such as Solvency UK, matching adjustment, funded re, solvent exit, and liquidity reporting, and ask two questions: 
Have the changes prompted the intended changes? 
How can firms maximise benefit from the reforms? 
The talk will then turn to the forward-looking view and discuss what is next, including whether there is a role for sandboxes, the case for updating Standard Formula calibration and further changes to the reporting regime (SFCR). 
Finally, the speakers will provide some personal perspectives on how this is all aligned to government policy and the implications for the future of the sector.  This will be a joint presentation with KPMG and the ABI. 
Gain insight into how modernisation initiatives being used across the industry are reimagining processes, systems, and team structures – bridging gaps between actuarial and finance domains, improving efficiency, and unlocking more strategic value. Real-world examples will highlight both the opportunities and challenges that come with this transformation.  
This session is aimed at actuaries looking to understand their role in finance modernisation programs, and how to contribute meaningfully to building a future-fit finance function. 
Speakers: James Isden, KPMG, Robert Warren, ABI and Himesh Sheth, Aviva"
2025-11-06,12:05 - 12:50,Workshop C9,From spreadsheets to sparks: igniting finance with Databricks,"
Gain insight into how modernisation initiatives across the industry are reimagining processes, systems, and team structures. They are bridging gaps between actuarial and finance domains, improving efficiency, and unlocking more strategic value.
Real-world examples will highlight both the opportunities and challenges that come with this transformation. This session is aimed at actuaries looking to understand their role in finance modernisation programs, and how to contribute meaningfully to building a future-fit finance function.
Key talking points: 
The case for modernisation: why invest here? 
Goals of modernisation activity: objectives (for example speed controls, efficiency, and insight), move from periodic reporting to continuous insights, move from silos to integrated reporting, ‘inverting the triangle’ 
Key areas: data, technology, processes, culture/training, people 
What do actuaries bring? Business SME, critical thinking and problem solving, methodology, collaboration, communication, understanding of upstream/downstream impacts 
Key challenges: legacy systems, resource, IT, data, change fatigue, how to ensure change sticks (for example crystallising change as noted below), scalability
Case studies/examples: automation, AI, cultural change, macro versus micro change
Actuaries of the future: what you need to do to be part of the change?
Speakers: Alice Hutchinson, Canada Life and Kieran McGing, PwC","Date and Time: 2025-11-06; 12:05 - 12:50
Session: Workshop C9: From spreadsheets to sparks: igniting finance with Databricks
Details: 
Gain insight into how modernisation initiatives across the industry are reimagining processes, systems, and team structures. They are bridging gaps between actuarial and finance domains, improving efficiency, and unlocking more strategic value.
Real-world examples will highlight both the opportunities and challenges that come with this transformation. This session is aimed at actuaries looking to understand their role in finance modernisation programs, and how to contribute meaningfully to building a future-fit finance function.
Key talking points: 
The case for modernisation: why invest here? 
Goals of modernisation activity: objectives (for example speed controls, efficiency, and insight), move from periodic reporting to continuous insights, move from silos to integrated reporting, ‘inverting the triangle’ 
Key areas: data, technology, processes, culture/training, people 
What do actuaries bring? Business SME, critical thinking and problem solving, methodology, collaboration, communication, understanding of upstream/downstream impacts 
Key challenges: legacy systems, resource, IT, data, change fatigue, how to ensure change sticks (for example crystallising change as noted below), scalability
Case studies/examples: automation, AI, cultural change, macro versus micro change
Actuaries of the future: what you need to do to be part of the change?
Speakers: Alice Hutchinson, Canada Life and Kieran McGing, PwC"
2025-11-06,14:05 - 15:05,Plenary 3 | Bitcoin and Fintech Working Party,Cryptocurrency and life insurance: innovation or impossibility?,"
This session will explore the evolving intersection of cryptocurrency, life insurance, and blockchain technology, drawing on insights from the IFoA Blockchain and Fintech Working Party and pioneering firms such as Meanwhile (the world’s first Bitcoin life insurer) and Anthea Insurance, who intend to become the world’s first Ether-denominated life insurer (pending regulatory approval). The discussion will examine how digital assets, from Bitcoin to Ethereum and beyond, are shaping the design and delivery of life insurance products, with a focus on crypto-denominated policies and innovative operational models.
The discussion will examine how digital assets, from Bitcoin to Ethereum and beyond, are shaping the design and delivery of life insurance products. The focus will be on crypto-denominated policies and innovative operational models.
We will highlight the opportunities and challenges in this dynamic space, including regulatory, actuarial, and risk considerations. And we will reflect on the broader implications for wealth preservation, intergenerational planning, and the future of insurance in a digital economy.
Key discussion topics:
The concept of crypto-denominated life insurance and comparisons to traditional models
Market demand and adoption trends across different demographics
Regulatory and compliance considerations for digital asset-based insurance
Managing volatility and ensuring long-term policyholder protection
Operational models for underwriting, claims, and administration in a crypto context
The role of cryptocurrencies in long-term financial planning and macroeconomic shifts
Insights from recent authorisation processes and regulatory engagement
Broader implications for the actuarial profession and the insurance industry
Speakers:  
Zubair Arshed FIA (Panel Chair), IFoA Life Lifelong Learning Sub-committee member
Carsten Ragborg, Chief Risk Officer, Meanwhile
Zhixin Lim, IFoA Blockchain and Fintech Working Party member
Feifei Zhang, Co-founder, CFO, Anthea Insurance","Date and Time: 2025-11-06; 14:05 - 15:05
Session: Plenary 3 | Bitcoin and Fintech Working Party: Cryptocurrency and life insurance: innovation or impossibility?
Details: 
This session will explore the evolving intersection of cryptocurrency, life insurance, and blockchain technology, drawing on insights from the IFoA Blockchain and Fintech Working Party and pioneering firms such as Meanwhile (the world’s first Bitcoin life insurer) and Anthea Insurance, who intend to become the world’s first Ether-denominated life insurer (pending regulatory approval). The discussion will examine how digital assets, from Bitcoin to Ethereum and beyond, are shaping the design and delivery of life insurance products, with a focus on crypto-denominated policies and innovative operational models.
The discussion will examine how digital assets, from Bitcoin to Ethereum and beyond, are shaping the design and delivery of life insurance products. The focus will be on crypto-denominated policies and innovative operational models.
We will highlight the opportunities and challenges in this dynamic space, including regulatory, actuarial, and risk considerations. And we will reflect on the broader implications for wealth preservation, intergenerational planning, and the future of insurance in a digital economy.
Key discussion topics:
The concept of crypto-denominated life insurance and comparisons to traditional models
Market demand and adoption trends across different demographics
Regulatory and compliance considerations for digital asset-based insurance
Managing volatility and ensuring long-term policyholder protection
Operational models for underwriting, claims, and administration in a crypto context
The role of cryptocurrencies in long-term financial planning and macroeconomic shifts
Insights from recent authorisation processes and regulatory engagement
Broader implications for the actuarial profession and the insurance industry
Speakers:  
Zubair Arshed FIA (Panel Chair), IFoA Life Lifelong Learning Sub-committee member
Carsten Ragborg, Chief Risk Officer, Meanwhile
Zhixin Lim, IFoA Blockchain and Fintech Working Party member
Feifei Zhang, Co-founder, CFO, Anthea Insurance"
2025-11-06,15:15 - 16:00,Workshop D1,How can an actuary be proportionate when applying the Technical Actuarial Standards? ,"
In today’s complex and dynamic business environment, it may seem that complying with standards is a burden that slows you down and makes you less productive. However, the issue may be that you have not considered how to apply the standards in a proportionate manner. 
If this is something that interests you, then this session will help to provide an answer, and includes several example scenarios where actuaries are applying the Technical Actuarial Standards in a proportionate manner. 
This session is a presentation and will cover: 
The purpose of the Technical Actuarial Standards 
How to apply them in a proportionate manner 
Illustrative examples in insurance 
Following the presentation there will be an opportunity to ask questions. 
This session is suitable for all levels of technical knowledge. It should be of interest to any actuary looking to ensure they are applying the standards in the most efficient way. 
Speaker: Matthew Myring-McCullagh, Alice Piper and Michael Hodges, Financial Reporting Council","Date and Time: 2025-11-06; 15:15 - 16:00
Session: Workshop D1: How can an actuary be proportionate when applying the Technical Actuarial Standards? 
Details: 
In today’s complex and dynamic business environment, it may seem that complying with standards is a burden that slows you down and makes you less productive. However, the issue may be that you have not considered how to apply the standards in a proportionate manner. 
If this is something that interests you, then this session will help to provide an answer, and includes several example scenarios where actuaries are applying the Technical Actuarial Standards in a proportionate manner. 
This session is a presentation and will cover: 
The purpose of the Technical Actuarial Standards 
How to apply them in a proportionate manner 
Illustrative examples in insurance 
Following the presentation there will be an opportunity to ask questions. 
This session is suitable for all levels of technical knowledge. It should be of interest to any actuary looking to ensure they are applying the standards in the most efficient way. 
Speaker: Matthew Myring-McCullagh, Alice Piper and Michael Hodges, Financial Reporting Council"
2025-11-06,15:15 - 16:00,Workshop D2 | Protection health and care,GLP-1 receptor agonists and the future of mortality: what actuaries need to know ,"
GLP-1 receptor agonists (GLP-1 RAs), such as semaglutide and tirzepatide, have rapidly moved from diabetes treatment into mainstream use for obesity, with prescription rates soaring. But their impact extends far beyond weight loss. These drugs are now demonstrating a broad spectrum of health benefits. Large-scale clinical trials have shown significant reductions in major adverse cardiovascular events, including heart attacks and strokes – benefits that appear to be independent of weight loss alone. 
Crucially, GLP-1 RAs are being explored as possible anti-ageing therapeutics. By addressing key biological drivers of ageing such as inflammation, insulin resistance, and cellular stress, these drugs may compress morbidity, delay onset of chronic diseases, and shift long-term health trajectories. This raises crucial questions for actuaries and life insurers. For example, will widespread uptake of GLP-1 RAs affect population-level mortality improvement rates? What timescales are we working with? Could we see a meaningful increase in healthy life expectancy? 
This session will explore emerging clinical evidence, potential risks, and socioeconomic considerations. It will outline how these developments may affect mortality and morbidity assumptions. We will also present modelling of GLP-1 uptake scenarios and their impact on future mortality. 
Speakers: Nicky Draper and Chris Martin, Crystallise","Date and Time: 2025-11-06; 15:15 - 16:00
Session: Workshop D2 | Protection health and care: GLP-1 receptor agonists and the future of mortality: what actuaries need to know 
Details: 
GLP-1 receptor agonists (GLP-1 RAs), such as semaglutide and tirzepatide, have rapidly moved from diabetes treatment into mainstream use for obesity, with prescription rates soaring. But their impact extends far beyond weight loss. These drugs are now demonstrating a broad spectrum of health benefits. Large-scale clinical trials have shown significant reductions in major adverse cardiovascular events, including heart attacks and strokes – benefits that appear to be independent of weight loss alone. 
Crucially, GLP-1 RAs are being explored as possible anti-ageing therapeutics. By addressing key biological drivers of ageing such as inflammation, insulin resistance, and cellular stress, these drugs may compress morbidity, delay onset of chronic diseases, and shift long-term health trajectories. This raises crucial questions for actuaries and life insurers. For example, will widespread uptake of GLP-1 RAs affect population-level mortality improvement rates? What timescales are we working with? Could we see a meaningful increase in healthy life expectancy? 
This session will explore emerging clinical evidence, potential risks, and socioeconomic considerations. It will outline how these developments may affect mortality and morbidity assumptions. We will also present modelling of GLP-1 uptake scenarios and their impact on future mortality. 
Speakers: Nicky Draper and Chris Martin, Crystallise"
